Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"Mr. David Ross, from Manchester, will leoture at the following places in North Lancashire, viz : Accrington, on Thursday, the 11th instant; Sabden, on Friday, the 12th ; Clithero, on Saturday, the 13th; Bacup, on Thursday, the 18th; Burnley, Friday, the 19th ; Blackburn, Saturday, the 20th ; Chorley, on Sunday, the 21st instant.",,Mr,,,7,Northern Star,06/05/1843,Tour,,,
,,,,,,,,,,,
"DEWSBURY.   A District Council Meeting will be held in the large room over the Co-operative Stores, on Sunday, the 13th instant, at two o olook in the afternoon, to take into immediate consideration Mr. Feargus O Connor s Plan of Organization. The support committee of Messrs. Clissett and Sheldrake will meet on Sunday, to morrow, at the above place, at two o clock in the afternoon.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"TODMORDEN.   Mr. W. Dixon, of Manchester, will deliver two lectures in the Oddfellows  Hall, Todmorden, on Sunday, the 14th instant, one at half past two, and the other at half-past six,",,Todmorden,53.713,-2.096,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"CARPENTERS' HALL. - (to-morrow) in the afternoon, at half-past two, and in the evening at half-past six, by Mr. Wm. Dixon.",,Manchester,53.4749,-2.23508,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"BOLTON. - Mr. D. Ross, of Manchester, will deliver two lectures to the Chartists, Bolton, on Sunday, (to-morrrow), at two o'clock in the afternoon and at six in the evening.",,Bolton,53.577694,-2.4288874,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"BURY.   Anniversary Sermons, Garden street Room.   The Rev. Wm. Hill will preach two anniversary sormons of the Christian church at Bury, assembling in the Garden-street Room, on Sunday, May 21, in the afternoon and evening,",,Bury,53.593,-2.298,7,Northern Star,13/05/1843,Meeting,,,
,,,,,,,,,,,
"NEWARK.   A public ball will be held in Mr. Kelk s large room, on Monday, at seven o clock, to defray the expences of the room, the surplus to go to the Defence Fund, &c. Admission sixpence each.",,Newark,53.0765,-0.81,7,Northern Star,13/05/1843,Meeting,,,
,,,,,,,,,,,
"BRISTOL.   The members of Bear-lane locality are requested to attend on Monday, at eight o clock in the evening, to take into consideration Mr. O Connor s plan of Organization. All communications for the locality must be addressed to the sub-Secretary, F. Evans, 4, Marlbro -Hill, Bristol.",,Bristol,51.468489,-2.5907094,7,Northern Star,13/05/1843,Meeting,,,
,,,,,,,,,,,
"HEBDEN BRIDGE.   Mr. John West will deliver a lecture in the Democratic Chapel, Hebden Bridge Lane, on Thuxsday next, at eight o clook in the evening.",,Hebden Bridge,53.7407227,-2.0093753,7,Northern Star,13/05/1843,Meeting,,,
,,,,,,,,,,,
"Dr. Lees, the talented editor of the Temperance Advocate., will deliver a lecture in the large room, Cheapside, on Monday, the 22d inst. Subject  Chartism the political aspect of Christianity.",,Leeds,53.7974185,-1.5437941,7,Northern Star,13/05/1843,Meeting,,,
,,,,,,,,,,,
"BURY.   Anniversary Sermons.  Garden Street Room. The Rev. Wm. Hill will preach the anniversary sermons of the Christian Church at Bury, assembling at Garden-street Room, on Sunday, May 21st, in the afternoon and evening.",,Bury,53.593,-2.298,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"LONDON.   Frost, Williams, Jones, and Ellis   A grand concert will take place at the Mechanics' Institution, Circus-street, New Road, on Tuesday, May 30th, for the purpose of raising a fund towards defraying the expenses of a great demonstration, to be held on Hampstead Heath, on Whit Monday, to memorialize her Majesty on behalf of the above named patriots, and all who are now suffering in exile and in dungeons for their advocacy of the cause of the people. Admission sixpence each.",,London,51.5203722,-0.16248,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"A general meeting of the Shoreditch locality will be held at the Gloster Coffee House on Tuesday,",,"A General Meeting Of The Shoreditch Locality Will Be Held At The Gloster Coffee House On Tuesday,",51.5192714,-0.0723169,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"COLNE.   A lecture will be delivered in the Chartist news room, Windy-banks, on Sunday, May the 28th, at half-past two o'clock, in the afternoon.",,Colne,53.8567728,-2.1691238,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"NOTTINGHAM.   Mr. James Simmons will preach on Nottingham Forest next Sunday, at two o'clock in the afternoon, and six in the evening, if the weather be favourable, and, if not, in the Chapel, Rice-place.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"KEIGHLEY.   A delegate meeting will ho holden in the Working Men's Hall, Sun-Street, Keighley, on Sunday, the 28th of May, at ten o clock in the forenoon, for the purpose of better organizing the district, and for the transaction of other important business. Delegates are particularly requested to attend from every locality in the district.",,Keighley,53.8684021,-1.9020456,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, the 28th of May, a camp meeting will be held at Undercliffe, at ten o'clock, and at Apperly Bridge at two o'clock in the afternoon.",,Bradford,53.7941567,-1.7494778,7,Northern Star,20/05/1843,Meeting,,,
,,,,,,,,,,,
"BRISTOL.   The Council propose that a District Delegate meeting beheld on the 11th of June, in the Democratic Chapel, Bear-lane, Temple-street, for be purpose of hearing the statement of each delegate respecting the condition of his locality, and to consider a plan of organisation, and to consider the best means of giving a stimulant to Chartism in the West, and bring it back to its wonted energy.",,Bristol,51.468489,-2.5907094,7,Northern Star,27/05/1843,Meeting,,,
,,,,,,,,,,,
"DEWSBURY.   A Chartist camp meeting will be held on Whit Sunday, in the Vicar's Croft, when several friends of the good cause will address the meeting.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,27/05/1843,Meeting,,,
,,,,,,,,,,,
"The support Committee of Messrs. Clissett and Sheldrake will meet on Sunday, (to-morrow), in the room over the Co-operative Stores. ",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,27/05/1843,Meeting,,,
,,,,,,,,,,,
"NEWCASTLE. - Mr. Beesley will lecture in the Chartist Hall, Goat Inn, Cloth Market, on evening at seven o clock.	",,Newcastle,54.9770924,-1.6142059,7,Northern Star,27/05/1843,Meeting,,,
,,,,,,,,,,,
"DEWSBURY.   A Chartist Camp meeting will be held on Sunday, (to-morrow), in Vicar s Croft, Dewsbury, at two o clock in the afternoon, and six in the evening, when Messrs. Clayton, Shaw, and other friends, will be in attendance.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"CLITHEROE.   Mr. Ross will lecture in the large room at the Swan Inn, on Monday, Tuesday, and Wednesday, on Elocution.",,Clitheroe,53.8753325,-2.3929021,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"Public Meeting.   A public meeting will be held in Paradise-square, at mid-day, on Whit-Monday, to take into consideration the unconstitutional dismissal of Magistrates in Ireland, and to petition Parliament thereon. The chair will be taken at one o clock precisely.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   On Sunday, (to-morrow,) Mr. Daniel Donovan, of Manchester, will lecture in the Chartist Room, at six o clock in the evening,",,Oldham,53.5415797,-2.1147831,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"SOWERBY.   There will be a Ball and Concert in the Council Room, at this place, on Whit-Tuesday. to commence at six o clock in the evening. Tickets, Males, threepence each ; females, twopence each.",,Sowerby,53.7055036,-1.9324388,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"NOTTINGHAM.   A Camp Meeting will ba held on Nottingham Forest on Whit-Sunday, at which Mr. Bairstow and several other speakers will attend.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"Mr. H. Dorman will preach on Bulwell Forest on Whit-Sunday, at two o clock in the afternoon and six in the evening.",,Bulwell Forest,53.0044156,-1.1830302,7,Northern Star,03/06/1843,Meeting,,,
,,,,,,,,,,,
"TOWER HAMLETS.   A special meeting of the General Council will be held at the Crown and Anchor, Waterloo Town, on Sunday, the 18th inst. at five o clock in the afternoon, to receive the reports of the different financial committees existing in the Hamlets.",,Cheshire Street,51.5236249,-0.0698263,7,Northern Star,10/06/1843,Meeting,,,
,,,,,,,,,,,
"A Camp Meeting of the counties of Northumberland and Durham will be held on Bouldon Pellon, on Sunday, at two o clock. Messrs. Beesley, Charlton, and other gentlemen will address the meeting.",,"A Camp Meeting Of The Counties Of Northumberland And Durham Will Be Held On Bouldon Pellon, On Sunday, At Two O Clock",54.9455379,-1.4686279,7,Northern Star,10/06/1843,Meeting,,,
,,,,,,,,,,,
"The Morning Sun will be publicly read in the Fig Tree-lane Room every evening, commencing at half-past six o clock.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,10/06/1843,Meeting,,,
,,,,,,,,,,,
"Lectures will be delivered in the Carpenter s Hall, on Sunday, by the Rev. W. Jackson, in the afternoon and evening.",,"Lectures Will Be Delivered In The Carpenter S Hall, On Sunday, By The Rev",53.4749,-2.23508,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"HOLMFIRTH.   Mr. Shaw, from Huddersfield, will lecture in the Chartists Ronm, Ribbledon road, near the National School, on Sunday, at half-past two in the afternoon.",,Holmfirth,53.5703632,-1.7870544,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"A Camp Meeting will be held at Kirkby Folley, on the 25th of June, at ten o clock and two, and at Sutton at six o clock at night. When Messrs. Pepper of Silston Grange, Harrison, of Calverton, and others will address the meeting.",,"A Camp Meeting Will Be Held At Kirkby Folley, On The 25th Of June, At Ten O Clock And Two, And At Sutton At Six O Clock At Night",53.1,-1.25,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"A Camp meeting will be held on the Sabden side of Pendle Hill, near to the road leading from Sabden to Clitheroe, on Sunday, June 18th, at twelve o clock at noon, when Mr. D. Ross and other parties from Manchester will address the meeting.",,"A Camp Meeting Will Be Held On The Sabden Side Of Pendle Hill, Near To The Road Leading From Sabden To Clitheroe, On Sunday, June 18th, At Twelve O Clock At Noon, When Mr",53.869,-2.3,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"The North Lancashire Delegate Meeting will be held in the Social Institution, Padiham, on Suuday, June 25th, The delegates are desired to come fully prepared to vote on the following questions, viz.: first, the new Executive; second, the new plan of organization ; third, a district lecturer.",,Padiham,53.797,-2.311,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"ROCHDALE.   On Sunday, June 25th, a Camp Meeting will be held on Bagslate Common, near Rochdale, to commence at two o clook in the afternoon, when several speakers from Manchester and Rochdale are expected to attend.",,Rochdale,53.6153659,-2.1557561,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, the 25th inst., the North Lancashire Delegate Meeting will take place at the Socialist s Room, Padiham, when delegates from all localities in North Lancashire are expected to attend. The meeting to begin at twelve o clock at noon.",,Padiham,53.797,-2.311,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"LEEDS DISTRICT.   Mr. David Ross, of Manchester, will lecture at Leeds, Holbeck, Hunslet, Wood-house, Armley, Bramley, and Morley, commencing on the 26th instant. Particulars in next week s Star.",,Leeds District,53.7974185,-1.5437941,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"LEEDS.   A lecture will be delivered in the Chartist room, Cheapside, to morrow evening, at half-past six o clock.",,Leeds,53.7974185,-1.5437941,7,Northern Star,17/06/1843,Meeting,,,
,,,,,,,,,,,
"The Members of the lace Chartist Hall locality, 25, Star-street, Commercial-road East, are most respectfully informed that a general meeting of the late members will take place on Sunday, June 25th, 1813, at the Black Horse Inn, Windmill Fieid-gate-street, White Chapel, at half-past seven o clock in the evening.",,"The Members Of Tho Lace Chartist Hall Locality, 25, Star-street, Commercial-road East, Are Most Respectfully Informed That A General Meeting Of The Late Members Will Take Place On Sunday, June 25th, 1813, At The Black Horse Inn, Windmill Fieid-gate-street, White Chapel, At Half-past Seven O Clock In The Evening",51.507238,-0.052741,7,Northern Star,24/06/1843,Meeting,,,
,,,,,,,,,,,
"A Public Lecture will be delivered on Sunday, June 25th, at the Black Horse Inn, Windmill-Field-gate-street, White Chapel. Chair to be taken at eight o'clock.",,"A Public Lecture Will Be Delivered On Sunday, June 25th, At The Black Horse Inn, Windmill-field-gate-street, White Chapel",51.5170329,-0.0660261,7,Northern Star,24/06/1843,Meeting,,,
,,,,,,,,,,,
"On Monday, Mr. M'Cabe will deliver a third lecture on  Repeal and the history of Ireland,  at eight o clock in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,24/06/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Cropper-street.   Mr. Jas. Reneshaw Cooper will lecture here on Wednesday, the 28th of June, at eight o clock in the evening. The public are respectfully invited to attend.",,Manchester,53.492127,-2.223607,7,Northern Star,24/06/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, the Chartists of Bradford locality will meet in the Council Room, at ten o clock in the morning. A full attendance is requested.",,Bradford,53.7941567,-1.7494778,7,Northern Star,24/06/1843,Meeting,,,
,,,,,,,,,,,
"BERMONDSEY.   Mr. Bolwell, from Bath, will deliver a public lecture on   the six points of the Charter,  at the White Bear, Long-walk, Bermondsey-square, on Monday, July 3rd, at eight o clock in the evening.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Mantz will deliver a funeral oration on the death of Mr. Wm. Evans, on Sunday, July 2nd, at the Black Horse and Windmill, Fieldgate-street, Whitechapel; the chair to be taken at half-past seven o clock iti the evening.",,Black Horse,51.5170329,-0.0660261,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"The Members and friends of the Black Horse and Windmill locality will take an excursion with the other localities of the Tower Hamlets to Whatford, on Monday, August 7th.",,Black Horse,51.5170329,-0.0660261,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"WORKING MEN'S HALL, MILE END ROAD.   A discussion will take place here, on Monday, July 3rd, subject "" Will a repeal of the Corn Laws remove the present distress of the country ? ",,Mile End,51.5204259,-0.0551902,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"An Harmonic Meeting will be holden at the   Feathers,  Warren-street, Tottenham-court-road, on Monday, July 3rd, 1843, at eight o clock; the proceeds to be given to William Jones.",,Feathers ,51.5242774,-0.1384081,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"MOTTRAM.   A Chartist camp meeting will be holden on Wednesough Green, on Sunday, July 9th, at two o clock in the afternoon, and six in the evening. Mr. J. M. Leach, Mr. Booth, Mr, Candelet, and several others will address the meeting.",,Mottram,53.4576897,-2.0143757,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"The People s Paper, the Northern Star is read every evening, at the Chartist Room, Kirkgate.",,Stockport,53.4077455,-2.1601108,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"The Chartists of Cheshire are requested to nominate delegates, to attend a delegate meeting, to be holden at Northwitch, on Sunday, July 9th, for the purpose of organising Cheshire. All communications for the delegate meeting to be addressed to Mr. Thos. Clarke, Park-street, Stockport.",,Northwich,53.2602539,-2.5145104,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"HALIFAX.   A camp meeting will be holden on Norland Moor, on Sunday, July 5th, at two o clock in the afternoon.",,Halifax,53.725,-1.863,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   On Sunday, to-morrow, July 2nd, two lectures will be delivered in the Chartist Room, Greaves-street. First lecture at two o clock in the afternoon, subject  "" The Land.  Second lecture at six in the evening, subject  "" The wrongs of Ireland and Repeal.  A collection will be made after each lecture to defray the expence of the Room.",,Oldham,53.5415797,-2.1147831,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"A full attendance is requested; and all persons holding collecting books are requested to bring them in, to be examined by the Council. A committee will be appointed by the Council to raise subscriptions to defray the rent of the room.",,Bradford,53.7941567,-1.7494778,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
BRAMLEY.   Mr. Ross will lecture here this evening at eight o clock. The friends are requested to make immediate arrangements.,,Bramley,53.817298,-1.636169,7,Northern Star,01/07/1843,Meeting,,,
,,,,,,,,,,,
"LOUGHBOROUGH.   A camp meeting will beheld on Mount Sorrel on Sunday, (to-morrow) at two o clock. Mr. Bairstow and others will attend.",,Loughborough,52.7723859,-1.2077985,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"To the Colliers of Mid and East Lothian.   There will be a Delegate Meeting in the Free Mason s Hall, Dalkeith, on Saturday, July 15th, chair to be taken at six o clock in the evening, when every colliery in Mid and East Lothian, are earnestly entreated to send a deputation.",,Dalkeith,55.8921025,-3.064816,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"WEDNESBURY.   A delegate meeting will be held in the People s Hall, Washington-street, July 9th, at two o clock when delegates are expected to attend from Birmingham, Dudley, Tipton, Bilston, Walsall, Darlaston, and Wednesbury. Plans will be submitted to accomplish the reorganisation of the district.",,Wednesbury,52.5521806,-2.0224441,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"ROCHDALE.   To-morrow, the 9th inst., Mr. J. Miils will deliver two addresses in connection with church-rates, at the Chartist Room, top of Yorkshire-street, at half-past two, and at six in the evening.",,Rochdale,53.6153659,-2.1557561,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, the 16th inst., a camp meeting will be held on Cronkeyshaw, to commence at two o clock. Several speakers will be in attendance from various places.",,Cronkey shaw,53.6259906,-2.1590348,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"HUDDERSFIELD.   A general district delegate meeting will be holden on Sunday, (to-morrow), in the Chartist Room, Honley. Chair to be taken at one o clock in the afternoon.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   On Sunday, (to-morrow), a lecture will be delivered in the Chartist Room, Greaves-street, at six o clock in the evening, by a friend. On Monday, a lecture will be delivered in the above room, at eight o clock in the evening, by Mr. J. Halliday. Subject  "" The necessity of a Working Man s Hall, and the advantages to be derived from such an erection.  On Thursday, the 13th instant, a general meeting of shareholders of the Working Man s Hall Association, will be holden in the Chartist Room, at eight o clock in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,08/07/1843,Meeting,,,
,,,,,,,,,,,
"ROCHDALE.   A camp meeting will be holden tomorrow, Sunday, on Cronkeyshaw, to commence at two o clock. Mr. J. M. Leach, and several other speakers will be in attendance. Mr. Leach will also lecture in the Chartist room, top of Yorkshire-street, in the evening at half-past six.",,Rochdale,53.6153659,-2.1557561,7,Northern Star,15/07/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   On Sunday, to-morrow, Mr. Davis will address the people of Oldham in the Chartist room, Greaves-street, at six o clock in the evening. Subject	The rights of labour.",,Oldham,53.5415797,-2.1147831,7,Northern Star,15/07/1843,Meeting,,,
,,,,,,,,,,,
"LIVERPOOL.   An adjourned special meeting of the Council will take place on next Sunday, at two o clock, at the house of Mr. Goodfellows, Tarleton-street, to take the subject of the Organization into consideration.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,15/07/1843,Meeting,,,
,,,,,,,,,,,
"HALIFAX.   A delegate meeting of this district will be held at Siddall, on Sunday, (to-morrow,) at two o clock in the afternoon; each locality is particularly requested to send delegates, as business of the greatest importance will be brought before the meeting, it is hoped that each delegate will be punctual to the time.",,Halifax,53.725,-1.863,7,Northern Star,15/07/1843,Meeting,,,
,,,,,,,,,,,
"A Camp Meeting will be holden on Illingworth Moor, on Sunday, July 23rd.
",,"A Camp Meeting Will Be Holden On Illingworth Moor, On Sunday, July 23rd",53.757087,-1.8877304,7,Northern Star,15/07/1843,Meeting,,,
,,,,,,,,,,,
"LEEDS.   In consequence of Mr. O Connor s engagement in Somersetshire next week, it will not be in his power to deliver his promised lectures at Leeds before Monday, the 7th of August.",,Leeds,53.7974185,-1.5437941,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"NORTH LANCASHIRE.   Mr. J, R. Bairstow, from Leicester, will lecture at the following places during the next fortnight: - Chorley, On Monday, 24th July; Darwen, 25th; Blackburn, ; Haslingden, 27th ; Bacup, 28th ; Accrington, 29th. On Sunday, the 30th of July, there will be a camp meeting at Bull Hill, near Blackburn, to begin at one o clock in the afternoon. Mr. Bairstow will also lecture at the following places : - Burnley, July 31st ; Colne, August 1st; Barnoldswick, 2nd ; Clitheroe, 3rd ; Sabden, 4th ; Padiham, 5th. On Sunday, 6th, a camp meeting at Marsden Heights, at one o clock in the afternoon. Mr. Bairstow and other speakers will address the camp meetings.",,North Lancashire,,,7,Northern Star,22/07/1843,Tour,,,
,,,,,,,,,,,
"MILNROW.   On Sunday, Mr. James Leach, of Manchester, will deliver a lecture in the Chartist room, at six o clock in the evening.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"HEYWOOD.   A camp meeting will be holden on Sunday, at two o clock in the afternoon, on the open space of ground near the White Lion. Messrs. Wood and Chadwick,, of Rochdale, Bell and others of Heywood, will address the meeting. In the evening of the same day, Mr. Wood will deliver a lecture in the Chartist Room, Hartley-street, to commence at six o clock.",,Heywood,53.5858251,-2.2339204,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"On Wednesday, the 26th, the South Lancashire Missionary, will lecture in the same room.",,Heywood,53.5858251,-2.2339204,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"OAKENSHAW.   On Sunday, the 23d of July, the North Lancashire delegate meeting will take place at the Socialist Room, Padiham, at one o clock in the afternoon, when delegates from all localities in North Lancashire are expected to attend. There will be business of importance to transact.",,Oakenshaw,53.797,-2.311,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"LEICESTER.   A public meeting will be held in the Market-place, at half-past seven o clock, p.m, on Monday, July 24th, to take the necessity of erecting a Democratic Hall of science into consideration, and to elect a Committee of Management.",,Leicester,52.6367811,-1.1312289,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"A camp meeting will be held at Undercliffe, on Sunday, 30th of July, at ten o clock in the forenoon. Messrs. Dawson, Hurley, and Alderson will address the meeting",,Undercliffe,53.8029666,-1.7382864,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Mr. G. Loyd, of Liverpool, will lecture in the Carpenters' Hall, on Sunday, (tomorrow,) at half-past six in the evening.",,Manchester,53.4749,-2.23508,7,Northern Star,22/07/1843,Meeting,,,
,,,,,,,,,,,
"LONDON.   An harmonic meeting will beheld at the Golden Lion, Dean-street, Soho, opposite St. Ann s Church, on Tuesday, August 8th, at eight precisely for the benefit of Mr. Railton, of Manchester.",,London,51.5125274,-0.1315594,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"MARYLEBONE.   Second Annual Excursion to Watford, on Monday, August 7th, 1843. The Committee of the Marylebone Association having made arrangements with the landlord of the Wheat-sheaf Inn, at Watford, for the accommodation of the party, in his Tea Gardens, are confident that nothing will be wanting to render them both comfortable and pleasant. Tickets 2s. each. Vans will start in the morning, from Circus-street, New Road, at eight o clock precisely.",,Marylebone,51.5203722,-0.16248,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"TOWER HAMLETS.   The Chartists of the Tower Hamlets are requested to attend the funeral obsequies of a deceased brother, Mr. Willmore, on Sunday, August 6th, at the Cambridge Road Cemetery. The procession will start from Mr. Drake s, Standard of Liberty, Brick Lane, at half-past two o clock.",,Tower Hamlets,51.5239026,-0.0673992,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   Mr. William Dixon will lecture in the Chartist Room, Greaves-street, at half-past six in the evening, when a collection will be made to defray the expence of the room.",,Oldham,53.5415797,-2.1147831,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"SHAW.   On Sunday, the 6th of August, a camp meeting will be holden on Shore Edge, near Shaw ; to commence at two o clock.",,Shaw,53.577,-2.092,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"WARLEY.   A camp meeting will be holden on Warley Moor, on Sunday, August 6th ; to commence at two o clock in the afternoon.",,Warley,53.7123893,-1.8993857,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"CHESHIRE DELEGATE MEETING. - The adjourned Chester County Delegate Meeting will be holden at Macclesfield, on Sunday, August 6th, at ten o clock in the forenoon ; all communications for the meeting to be addressed to Mr. John Warren, at Mr. D. Oldham s, Pack-green, Macclesfield.",,Cheshire Delegate Meeting,53.2606635,-2.1255158,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"LOUGHBOROUGH.   A Delegate Meeting for this neighbourhood, will be holden on Sunday, August the 6th, at 5 p m., at the Charter Hotel, when it is hoped that every village will send a delegate.",,Loughborough,52.7723859,-1.2077985,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Mr. James Leach will lecture in the Carpenters  Hall, on Sunday, (to-morrow,) at half-past six o clock in the evening. There will also be a Discussion, in the Large Anti-Room of the above Hall, to commence at half-past two o clock in the afternoon. Subject  ""Are the Chartists justified in uniting the Land question with the agitation for the Charter? """,,Manchester,53.4791466,-2.2447445,7,Northern Star,29/07/1843,Meeting,,,
,,,,,,,,,,,
"MOTTRAM.   A camp meeting will be holden on Wednesough Green, on Sunday, August 13th, at two o clock in the afternoon and six in the evening, Mr. Doyle and Mr. Clark will address the meeting. ",,Mottram,53.4576897,-2.0143757,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
"HALSHAW MOOR.   The Chartists of the undermentioned places are requested to send delegates to attend a delegate meeting, to be holden at the White Lion Inn, Westhoughton, on Sunday, August 13th at one o clock in the afternoon, to consider tho propriety of holding a Chartist camp meeting in some convenient place, viz,, Leigh, Hindley, Wigan, Astley, Chowbent, Sylasley, Horwich, Worsley, Westhoughton, Bolton and Halshaw Moor.",,Halshaw Moor,53.5543714,-2.3822895,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
"The North Lancashire Delegate Meeting will be holden in the Social Institution, Padiham, on Sunday, August 13th, at twelve o'clock at noon precisely, each delegate is requested to bring credentials with him.",,Padiham,53.797,-2.311,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
""" Organization.    The discussion on Organization will be continued on the evenings of Wednesday, Thursday, and Friday, August 9th, 10th, and 11th, commencing each evening at half-past seven o clock.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
"A Delegate Meeting will be held in Mrs. Cooper s room, on Sunday, August 13th. Delegates are expected from Wigstone, Oadby, Blaby, Skilton, Countesthorpe, and other villages in the vicinity of Leicester.",,Leicester,52.6367811,-1.1312289,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
"ALMONDBURY.   Temperance Festival. Mr D. Ross will deliver an address on "" Temperance,  in the centre of the town, on Sunday, (to-morrow) at five o clock; and also after tea, on Monday, he will lecture on the same subject in the hall. Tickets for tea ninepence each.",,Almondbury,53.6317366,-1.7458804,7,Northern Star,05/08/1843,Meeting,,,
,,,,,,,,,,,
"SWANWICK.   Mr. J. Pepper will preach at Swanwick, on the 13th of August, at half-past two o clock, and in Alfreton Market-place, at six o clock at night.",,Swanwick,53.0761731,-1.3993137,7,Northern Star,05/08/1843,Meeting,,,
